"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"1594","ENSG00000152092.16",2.93106638743848,0.335201749467325,0.924304846138876,0.362652809695386,0.716864255518373,0.827074052613487,"ASTN1"
"1595","ENSG00000224687.2",31.3420954668342,1.10398965157056,0.370692398171504,2.97818260373334,0.00289963176305304,0.0104662295587207,"RASAL2-AS1"
"1596","ENSG00000075391.16",20.1173900665956,1.37951038100191,0.388713305324583,3.54891474540597,0.000386822298499992,0.00174545419034122,"RASAL2"
"1597","ENSG00000188585.9",3.64454280609531,-1.55285858379781,0.903230002346881,-1.71922830260619,0.085572809194134,0.179482924774367,"CLEC20A"
"1598","ENSG00000213057.5",0.734178207093715,0.808875221116412,1.97231043242286,0.410115571980603,0.681721170187063,NA,"C1orf220"
"1599","ENSG00000273062.1",34.3579183501405,0.07418789733046,0.29628661747685,0.25039233281016,0.802283958343196,0.883813981668549,"AL449106.1"
"1600","ENSG00000116191.17",8.94545266797771,0.0576773974863853,0.560068817281898,0.102982697316203,0.917976703473288,0.955067644422779,"RALGPS2"
"1601","ENSG00000116194.13",1.18903600445212,1.86474889827163,1.68367641976657,1.10754588968477,0.268057983295273,0.42378107031313,"ANGPTL1"
"1602","ENSG00000116199.12",59.7814100761204,-0.966909194592335,0.223409241993723,-4.3279731221661,1.50487828562908e-05,9.0115438747109e-05,"FAM20B"
"1603","ENSG00000232750.2",0.583971401530637,0.403914774169048,2.24327523901023,0.180055825136848,0.85710874217089,NA,"AL139132.1"
"1604","ENSG00000186283.14",30.842350118192,0.286195613350428,0.29436783927524,0.972238047658561,0.33093213634826,0.493249697683585,"TOR3A"
"1605","ENSG00000143322.21",75.3267887536789,0.991264051513824,0.230770153796717,4.2954603756386,1.74331174913637e-05,0.000103363164025499,"ABL2"
"1606","ENSG00000231905.2",1.32743757698689,0.685576491531378,1.46861362133296,0.466818829386267,0.640629503069486,0.768313643682477,"SETP10"
"1607","ENSG00000225711.1",1.32632066112198,0.631784079254192,1.381401188163,0.457350177969909,0.647419368728637,0.773555732420314,"AL512326.3"
"1608","ENSG00000057252.13",6.69798467221789,-0.386046280397923,0.60309178991161,-0.640111981054331,0.522099800364472,0.67384928667012,"SOAT1"
"1609","ENSG00000236539.3",1.10122386934727,1.66016394457728,1.685273105329,0.985100835780078,0.324574542885942,0.486493760341666,"HNRNPA1P54"
"1610","ENSG00000227141.2",2.31263726904712,-4.76820796029043,1.46181577539548,-3.26183917327096,0.00110691924202865,0.00449455003311532,"AL160286.1"
"1611","ENSG00000243062.6",9.78737025508455,-2.08762884347226,0.57471519131798,-3.63245808534268,0.000280734186928869,0.00130232024432351,"AL359853.2"
"1612","ENSG00000143340.6",98.3467277587226,-0.389846504912311,0.176879468953881,-2.20402349248323,0.0275226919735661,0.0720100836315513,"FAM163A"
"1613","ENSG00000229407.5",954.978432682344,-0.693321442565013,0.077885069477745,-8.90185304082093,5.49219561929323e-19,1.43281266504904e-17,"AL359853.1"
"1614","ENSG00000169905.12",78.5449998898065,0.367943438633361,0.199050861038695,1.84848956047387,0.0645315532210293,0.142989171402922,"TOR1AIP2"
"1615","ENSG00000272906.1",175.78411560543,1.04189959489026,0.170974157616838,6.09390102816127,1.10191802621733e-09,1.1938649566017e-08,"AL353708.3"
"1616","ENSG00000143337.18",71.3476380980215,0.465171385115675,0.196385202592374,2.36866820399501,0.0178522607040018,0.0501923954875559,"TOR1AIP1"
"1617","ENSG00000135837.16",79.8401410958561,1.07805282168473,0.212376514646295,5.07613953209557,3.85180482082477e-07,2.98086394154929e-06,"CEP350"
"1618","ENSG00000116260.17",34.9421157996929,-0.815170853780099,0.284851574481078,-2.86173897850176,0.00421323736399572,0.0144901747122191,"QSOX1"
"1619","ENSG00000121454.6",338.384204856334,0.244214723694059,0.140651808538669,1.73630702819522,0.0825095611904389,0.174256185526505,"LHX4"
"1620","ENSG00000230124.8",61.2384071558841,-0.103979720529442,0.216082995532476,-0.481202698403977,0.630372443232361,0.760937256131995,"ACBD6"
"1621","ENSG00000143324.14",115.070422535563,-0.614615101131567,0.163718543233605,-3.75409583418167,0.000173968299964241,0.00084769463833645,"XPR1"
"1622","ENSG00000225857.5",1.32295689365808,0.0981645406196168,1.5424599573178,0.0636415487830986,0.949255647634804,0.972454878870272,"LINC02816"
"1623","ENSG00000135835.12",236.556088836701,-0.53039915165446,0.136977195886762,-3.87217119039971,0.000107870143263717,0.000549522438460873,"KIAA1614"
"1624","ENSG00000243155.1",141.205103814162,-1.17369827871921,0.158580596102842,-7.40127296506093,1.34885137477391e-13,2.21022117418531e-12,"AL162431.1"
"1625","ENSG00000232586.1",308.890215974136,-1.52647835878992,0.12626171467697,-12.0897958870216,1.1958344471687e-33,7.77370806033237e-32,"KIAA1614-AS1"
"1626","ENSG00000251520.1",3.78214945203445,-1.38292962861442,0.835238530531824,-1.65573016337484,0.0977764760101696,0.199403017020729,"AL162431.2"
"1627","ENSG00000270711.1",4.20671413754965,1.16311491446918,0.849823589679827,1.36865454029982,0.171107286722576,0.303683092258439,"AL162431.3"
"1628","ENSG00000135823.14",103.563977740641,0.675852053452564,0.188615274991931,3.58323075096371,0.000339370558991097,0.00154611674474184,"STX6"
"1629","ENSG00000162783.11",82.6280417523439,0.787965465431247,0.19415483902569,4.05843845760129,4.94019485203634e-05,0.00026923926149347,"IER5"
"1630","ENSG00000135821.19",74.997538134032,0.045805295874937,0.206784211712926,0.221512539547882,0.824693373951295,0.8988618286698,"GLUL"
"1631","ENSG00000143333.7",23.3185230011686,1.40548342608484,0.353342238861499,3.97768302655645,6.95900534265318e-05,0.000368054587232865,"RGS16"
"1632","ENSG00000135838.13",3.56152801033276,-0.690327620218592,0.877087251160489,-0.787068355292143,0.431241852686193,0.590934564462585,"NPL"
"1633","ENSG00000287808.1",1029.46178195703,0.725711039884229,0.0975895023916156,7.43636376966073,1.03494591789321e-13,1.71306798606893e-12,"AL355999.1"
"1634","ENSG00000135829.17",264.012963686638,0.744781065649624,0.115960077819338,6.42273685612705,1.33845755608662e-10,1.60554026027737e-09,"DHX9"
"1635","ENSG00000135862.6",181.052680882711,-0.286662780708767,0.142021884962091,-2.01844089581886,0.0435453638376605,0.104676761494822,"LAMC1"
"1636","ENSG00000224468.3",9.13040464910602,-0.483919008092212,0.517913415260852,-0.934362759938322,0.350116800613565,0.511816397977228,"LAMC1-AS1"
"1637","ENSG00000058085.15",10.6310248466134,0.946462490829406,0.511399809606899,1.85072906373768,0.0642085406595126,0.142448554957609,"LAMC2"
"1638","ENSG00000157064.11",98.9401747655828,0.0543834834564918,0.180648712465773,0.3010455082363,0.763379792616769,0.857944803639858,"NMNAT2"
"1639","ENSG00000287929.1",495.651768229905,-0.2030809134321,0.117029137113426,-1.73530215159384,0.0826873008642579,0.174520024934601,"AL354953.1"
"1640","ENSG00000233562.1",0.852091062005142,1.15368441513982,1.88588300644263,0.611747606398998,0.54070475920548,NA,"RPS3AP8"
"1641","ENSG00000286372.1",1.67378345559496,1.17583934108129,1.28452349889146,0.915389513773811,0.359987181413863,0.521674677940477,"AL449223.1"
"1642","ENSG00000232860.8",309.077996587965,1.40466213340974,0.134999460691934,10.4049462583791,2.35388875917077e-25,9.42839442991493e-24,"SMG7-AS1"
"1643","ENSG00000116698.21",176.136651353575,0.499621810963337,0.147365394033491,3.39036049976422,0.000698007688620738,0.00296410332882488,"SMG7"
"1644","ENSG00000116701.15",1.97773983327346,0.215573253504436,1.26209020521528,0.170806533965347,0.864375891218383,0.92573398912616,"NCF2"
"1645","ENSG00000162704.16",105.166620088854,-0.462313171265057,0.180108393745007,-2.56686077562598,0.0102623807331744,0.0312121832791299,"ARPC5"
"1646","ENSG00000143344.15",16.0606480247632,0.448259425141745,0.417465777428529,1.07376328642529,0.282928788614307,0.440143514464955,"RGL1"
"1647","ENSG00000173627.8",0.729629418750703,0.836294801560169,1.97405849487057,0.423642361020817,0.671826656756637,NA,"APOBEC4"
"1648","ENSG00000198756.12",7.25955440955416,0.0574634608779422,0.680706498422516,0.0844173825446198,0.932724587343807,0.963408995203019,"COLGALT2"
"1649","ENSG00000198860.13",13.7544596067455,0.0565287943429016,0.43888851903021,0.128799893120491,0.897515990103529,0.945288155951271,"TSEN15"
"1650","ENSG00000116667.14",17.5314422675832,-0.26986749065467,0.39178494709903,-0.68881536325707,0.490939466316225,0.644702449669714,"C1orf21"
"1651","ENSG00000285847.2",2.1364931149725,-1.82277788227619,1.24821806287807,-1.46030404180607,0.144206531731106,0.267111009582736,"AL713852.1"
"1652","ENSG00000116406.19",34.1618812225072,-0.777578239864908,0.301954586110374,-2.57514962723791,0.0100196731042062,0.0305771984973211,"EDEM3"
"1653","ENSG00000121481.11",26.4117859696257,1.37092262918352,0.352111597451868,3.89343219338555,9.88358374843574e-05,0.000507804651412893,"RNF2"
"1654","ENSG00000232792.2",4.79938939565275,2.07509714517776,0.896637150398285,2.31431091635675,0.0206506734247293,0.0567092662038929,"FTH1P25"
"1655","ENSG00000121486.12",23.8805908531149,0.867150647260314,0.332283876737963,2.60966814211134,0.00906300948745204,0.0279850940831197,"TRMT1L"
"1656","ENSG00000116668.13",10.1165178580456,-0.0622564650629391,0.519943682955772,-0.119736939025827,0.904691537738295,0.948763308935638,"SWT1"
"1657","ENSG00000231084.2",32.0150791332404,-0.26883847852142,0.295225192536309,-0.910621740007354,0.362494711734323,0.524560194665833,"RPL22P24"
"1658","ENSG00000279838.1",3.63183511368462,-2.75361216517412,1.04836801286351,-2.62657018469394,0.0086250203484362,0.0268290364682216,"AL356273.6"
"1659","ENSG00000116679.16",57.0158176575379,0.173400914872635,0.230262195180273,0.753058550218717,0.451414730882678,0.609022854464539,"IVNS1ABP"
"1660","ENSG00000261024.7",1.599969900417,-0.398140979693877,1.45783988543637,-0.273103365926019,0.784773759415093,0.871647123857713,"AL078644.1"
"1661","ENSG00000116690.13",599.047052487824,0.833401522346994,0.0941305846600947,8.85367413106383,8.46843987742174e-19,2.1609235193004e-17,"PRG4"
"1662","ENSG00000047410.14",298.30392401825,1.01561036483348,0.137247457027953,7.39984832379537,1.36340136782344e-13,2.23037614850126e-12,"TPR"
"1663","ENSG00000157181.16",25.5242655470773,2.05302822053341,0.373239615510006,5.5005635393984,3.78579291744207e-08,3.35993357986231e-07,"ODR4"
"1664","ENSG00000116703.14",0.610903473936936,-0.741982378913296,2.21327352876531,-0.335242060807195,0.737442495970247,NA,"PDC"
"1665","ENSG00000230426.4",15.020613106913,-1.0608819251833,0.45151554014193,-2.34960224148613,0.0187934819715009,0.0524223926630483,"ERVMER61-1"
"1666","ENSG00000116741.8",13.0593605661727,-0.707827683643782,0.466796174989939,-1.51635279286305,0.129430169060497,0.245970666343571,"RGS2"
"1667","ENSG00000116750.13",169.749689676222,0.0595253931667751,0.157278651547003,0.378470902320687,0.705080805611891,0.817522639348945,"UCHL5"
"1668","ENSG00000116747.12",91.9207736798643,0.662734211687494,0.179161451759592,3.69908931401597,0.000216374454667183,0.00103377604893733,"RO60"
"1669","ENSG00000023572.9",146.001045920375,-0.432831785323586,0.142570008235024,-3.03592453056517,0.00239799378074559,0.00887610033720416,"GLRX2"
"1670","ENSG00000134371.14",49.5373277042312,0.755857248515886,0.242714561863735,3.11418170674177,0.00184455854769846,0.00706160693670928,"CDC73"
"1671","ENSG00000162630.6",1.16826078195971,1.82340537942659,1.65167117351713,1.10397602662264,0.269603537190645,0.425219102050665,"B3GALT2"
"1672","ENSG00000276735.1",0.861771915794104,0.265418443928393,1.93219124302955,0.137366549447887,0.890741070038886,NA,"AL390863.1"
